source_id,source_origin_time,source_latitude_deg,source_longitude_deg,source_depth_km,source_magnitude,source_magnitude_type,strike,dip,rake,mechanism_type,solution_source,estimated_quality,zncc,preliminary_estimated_quality,polarity_validation,pred_usable_polarity_count,pred_polarity_match_ratio
4702611,2014-12-19T17:27:16.47Z,43.6242,11.2323,7.3,3.6,ML,135,49,-51,normal,model_prediction,high,0.822779894,high,strong,10,0.9
23614031,2019-12-17T23:48:44.37Z,37.8385,14.9353,28.3,3.5,ML,234,21,-39,strike_slip,model_prediction,moderate,0.832704306,high,acceptable,10,0.7
12870911,2017-01-22T04:40:31.62Z,42.5938,13.2277,10,3,ML,320,64,-102,normal,model_prediction,moderate,0.832537532,moderate,strong,10,0.7
2022631,2013-05-09T20:41:22.39Z,39.1767,15.9927,20.5,3.4,ML,242,9,60,thrust,model_prediction,high,0.827570319,high,strong,12,0.916666667
20804471,2018-09-30T06:23:06.03Z,37.6395,14.4932,36.1,3.3,ML,324,74,143,strike_slip,model_prediction,high,0.805884719,high,strong,16,1
9799181,2016-11-13T03:15:52.77Z,42.5393,13.2232,9.8,3.3,ML,153,52,-91,normal,model_prediction,high,0.862320244,high,strong,10,0.8
23444451,2019-11-14T09:55:06.84Z,42.5265,13.3172,14.7,3.2,ML,357,72,-39,strike_slip,model_prediction,high,0.829761982,high,strong,15,1
21180131,2018-12-04T07:30:45.71Z,41.7608,13.5902,8.6,3.1,ML,324,61,-78,normal,model_prediction,moderate,0.851896882,moderate,strong,12,0.833333333
20872081,2018-10-09T21:08:53.63Z,37.6078,14.904,5.4,3.2,ML,91,85,21,strike_slip,model_prediction,high,0.795758963,high,strong,12,0.916666667
23263431,2019-10-12T12:29:55.33Z,42.4923,13.2968,9.9,3.1,ML,313,1,58,thrust,model_prediction,moderate,0.848854303,high,acceptable,10,0.6
4738841,2014-12-21T17:02:41.10Z,43.6122,11.2282,7.6,3,ML,277,47,-117,normal,model_prediction,moderate,0.834123492,moderate,strong,9,0.888888889
5876081,2015-08-01T20:47:51.65Z,45.9032,10.773,5.2,3.7,ML,359,88,21,strike_slip,model_prediction,high,0.817812622,high,strong,11,0.909090909
12840551,2017-01-21T10:59:28.16Z,42.4577,13.2857,16,3.5,ML,205,76,27,strike_slip,model_prediction,high,0.83178997,high,strong,14,0.928571429
14062121,2017-03-09T17:21:18.77Z,39.0175,15.4692,20,3.3,ML,206,89,-5,strike_slip,model_prediction,moderate,0.826227725,high,acceptable,13,0.692307692
1336861,2012-09-27T08:35:41.05Z,41.1603,14.9328,11.3,3.8,ML,280,56,-126,normal,model_prediction,moderate,0.796927929,high,acceptable,9,0.555555556
2839191,2013-12-23T04:20:38.46Z,38.2152,15.5687,10.3,3.8,ML,21,46,-85,normal,model_prediction,high,0.832678437,high,strong,14,0.928571429
4063201,2014-08-13T00:04:33.58Z,42.988,14.0407,27.5,3.5,ML,343,37,81,thrust,model_prediction,moderate,0.785503507,moderate,strong,8,0.875
